Date,Celsia,Banco de Bogota,Ecopetrol,ETB,Nutresa,Banco Davivienda PF,Promigas,Mineros SA,Grupo Bolivar
2020-01-01,2793.44189453125,52395.3828125,1491.2252197265625,259.0,20479.646484375,38710.296875,4753.7890625,3024.656005859375,59214.125
2020-01-02,2793.44189453125,52395.3828125,1491.2252197265625,259.0,20479.646484375,38710.296875,4753.7890625,3024.656005859375,59214.125
2020-01-03,2844.11669921875,54635.46875,1520.4647216796875,260.0,20382.890625,38137.80859375,4896.40234375,3098.704833984375,60752.13671875
2020-01-06,2844.11669921875,54635.46875,1520.4647216796875,260.0,20382.890625,38137.80859375,4896.40234375,3098.704833984375,60752.13671875
2020-01-07,2837.781982421875,52924.6484375,1511.46826171875,260.0,20205.5078125,38306.1875,4896.40234375,3093.988525390625,60752.13671875
2020-01-08,2834.61474609375,52924.6484375,1495.7236328125,260.0,20173.2578125,38289.3515625,4896.40234375,3070.40625,60752.13671875
2020-01-09,2837.781982421875,53613.9140625,1504.7205810546875,274.0,20217.75,37615.83203125,4753.7890625,3046.823974609375,60830.68359375
2020-01-10,2859.952880859375,54709.3046875,1529.4615478515625,274.0,20314.716796875,37295.91015625,4735.9619140625,3027.957275390625,60830.68359375
2020-01-13,2825.114013671875,52949.27734375,1538.458740234375,270.0,20136.951171875,37043.34375,4735.9619140625,3065.689453125,60830.68359375
2020-01-14,2796.60986328125,53663.14453125,1531.7110595703125,262.0,20153.1015625,37211.72265625,4575.5224609375,3032.67431640625,60830.68359375
2020-01-15,2774.439453125,54155.44140625,1527.2125244140625,268.0,20250.068359375,37262.23828125,4586.83984375,3032.67431640625,60830.68359375
2020-01-16,2777.606201171875,54463.140625,1531.7110595703125,265.0,20201.5859375,37700.0234375,4169.8564453125,3018.52490234375,60830.68359375
2020-01-17,2807.052978515625,54463.140625,1531.7110595703125,265.0,20201.5859375,37700.0234375,4169.8564453125,3018.52490234375,60830.68359375
2020-01-20,2784.648193359375,52986.1953125,1522.714111328125,252.0,20444.0078125,38053.6171875,4169.8564453125,3027.957275390625,60830.68359375
2020-01-21,2829.45751953125,53847.7421875,1511.46826171875,265.0,20411.681640625,38289.3515625,4402.17529296875,3018.52490234375,60815.31640625
2020-01-22,2867.86669921875,54524.67578125,1497.97265625,265.0,20460.162109375,38289.3515625,4354.52001953125,3051.540283203125,59290.6953125
2020-01-23,2903.07568359375,53847.7421875,1491.2252197265625,259.0,20508.65625,38221.99609375,4431.95947265625,3051.540283203125,59290.6953125
2020-01-24,2858.265380859375,54770.84765625,1479.9791259765625,257.0,20379.359375,38356.6953125,4378.3466796875,3046.823974609375,59290.6953125
2020-01-27,2874.2685546875,53946.2109375,1441.742431640625,250.0,20136.951171875,37935.75390625,4378.3466796875,3018.52490234375,59290.6953125
2020-01-28,2880.67041015625,54353.86328125,1434.9949951171875,250.0,20201.5859375,38087.2890625,4574.92626953125,2966.644287109375,59290.6953125
2020-01-29,2899.875,54588.55859375,1437.2440185546875,251.0,20266.234375,38642.9453125,4574.92626953125,2971.36083984375,60445.7109375
2020-01-30,2899.875,54082.0859375,1439.4932861328125,250.0,20169.263671875,38727.1328125,4372.39013671875,2924.195556640625,60445.7109375
2020-01-31,2903.07568359375,54971.53125,1430.4964599609375,258.0,20007.65625,38710.296875,4408.13134765625,2886.464599609375,60445.7109375
2020-02-03,2896.674072265625,54971.53125,1412.5030517578125,260.0,20250.068359375,38306.1875,4408.13134765625,2914.763427734375,60830.68359375
2020-02-04,2880.67041015625,54996.21875,1432.74560546875,260.0,20201.5859375,38457.73046875,4646.40966796875,2919.4794921875,61061.7109375
2020-02-05,2893.472900390625,54971.53125,1434.9949951171875,260.0,20201.5859375,39333.296875,4586.83984375,2971.36083984375,61061.7109375
2020-02-06,2903.07568359375,55403.90234375,1437.2440185546875,252.0,20266.234375,38912.34375,4640.4541015625,2980.7939453125,61600.7265625
2020-02-07,2848.662841796875,55403.90234375,1446.2412109375,252.0,20492.486328125,39282.78515625,4467.701171875,2980.7939453125,62293.71484375
2020-02-10,2832.65869140625,53859.76171875,1446.2412109375,252.0,20056.130859375,39232.26953125,4634.49658203125,2999.658935546875,62755.72265625
2020-02-11,2826.257568359375,54020.32421875,1479.9791259765625,252.0,20165.51953125,39013.375,4646.40966796875,3004.375244140625,63219.8359375
2020-02-12,2842.26171875,54020.32421875,1518.2159423828125,252.0,20311.2890625,38895.5078125,4646.40966796875,3004.375244140625,63219.8359375
2020-02-13,2855.064208984375,54316.8125,1511.46826171875,252.0,20311.2890625,39484.8359375,4646.40966796875,3004.375244140625,62525.984375
2020-02-14,2874.2685546875,55403.90234375,1495.7236328125,252.0,20489.453125,38743.96484375,4759.59130859375,3056.256103515625,62834.35546875
2020-02-17,2864.666259765625,55403.90234375,1509.21875,252.0,20408.48046875,38777.6484375,4776.90625,3037.390625,63219.8359375
2020-02-18,2906.276123046875,55403.90234375,1513.7174072265625,257.0,20327.48046875,38979.69921875,4776.90625,3108.136962890625,65532.7890625
2020-02-19,2903.07568359375,55428.57421875,1556.4521484375,266.0,20343.6875,39282.78515625,4770.93701171875,3141.152099609375,68231.1640625
2020-02-20,2928.681640625,55428.57421875,1545.2060546875,253.0,20327.48046875,38659.78125,4693.31201171875,3188.316162109375,68154.0703125
2020-02-21,3008.699951171875,55366.8125,1540.707763671875,257.0,20457.056640625,37885.234375,4776.90625,3207.18212890625,67460.203125
2020-02-24,3040.707275390625,55379.1796875,1497.97265625,254.0,20489.453125,37885.234375,4776.90625,3277.929931640625,65532.7890625
2020-02-25,3075.91552734375,54660.1171875,1484.4774169921875,256.0,20295.09375,37211.72265625,4776.90625,3301.511962890625,65532.7890625
2020-02-26,3008.699951171875,54548.546875,1477.7298583984375,250.0,20230.3046875,37026.50390625,4687.3408203125,3268.497314453125,64083.36328125
2020-02-27,2931.88232421875,54027.84375,1403.5062255859375,245.0,19193.68359375,35864.69140625,4884.388671875,3277.929931640625,63235.24609375
2020-02-28,2880.67041015625,53333.6328125,1396.7586669921875,246.0,18966.921875,35359.5546875,4866.474609375,3249.630859375,63219.8359375
2020-03-02,2938.283935546875,53928.67578125,1376.5155029296875,246.0,19841.56640625,35359.5546875,4657.48486328125,3207.18212890625,64761.8203125
2020-03-03,2925.48046875,53618.73828125,1367.5184326171875,241.0,18950.724609375,33844.14453125,4830.64794921875,3263.780517578125,64145.0234375
2020-03-04,2976.69189453125,53655.94140625,1421.499755859375,240.0,19274.666015625,34551.33984375,4830.64794921875,3164.73486328125,64145.0234375
2020-03-05,2944.68505859375,54523.7578125,1428.247314453125,241.0,19420.439453125,34349.28125,4836.6181640625,3169.451416015625,64145.0234375
2020-03-06,2922.280029296875,54486.5703125,1333.7806396484375,233.0,19145.087890625,32581.3046875,4836.6181640625,3197.749755859375,61677.90625
2020-03-09,2823.05712890625,51449.1796875,1066.1248779296875,229.0,18464.806640625,29466.294921875,4669.42626953125,3018.52490234375,60906.9140625
2020-03-10,2887.07177734375,49663.99609375,1048.1312255859375,235.0,18509.501953125,29634.673828125,4681.36865234375,3065.689453125,58669.76953125
2020-03-11,2800.65185546875,50829.3203125,1003.14697265625,220.0,17860.05078125,28371.833984375,4687.3408203125,2966.644287109375,57125.8203125
2020-03-12,2624.61083984375,50209.4609375,872.69287109375,209.0,16642.318359375,26081.880859375,4221.5908203125,2782.70263671875,52494.0
2020-03-13,2624.61083984375,50209.4609375,872.69287109375,209.0,16642.318359375,26081.880859375,4221.5908203125,2782.70263671875,52494.0
2020-03-16,2253.32470703125,43390.8984375,775.9769897460938,209.0,15424.5810546875,24010.82421875,4179.79541015625,2641.208984375,52494.0
2020-03-17,2317.339111328125,45808.3828125,708.5006103515625,197.0,15424.5810546875,23892.95703125,4191.1708984375,2509.14892578125,52494.0
2020-03-18,2208.514404296875,40291.546875,620.781494140625,171.0,13882.1279296875,20424.3515625,4191.1708984375,2273.32666015625,47862.16796875
2020-03-19,2368.551513671875,38431.94140625,638.7752075195312,170.0,13882.1279296875,19705.978515625,4191.1708984375,2169.564453125,43616.33984375
2020-03-20,2339.744873046875,38431.94140625,668.0148315429688,170.0,13800.9453125,20976.22265625,4191.1708984375,2169.564453125,42844.3671875
2020-03-23,2339.744873046875,38431.94140625,668.0148315429688,170.0,13800.9453125,20976.22265625,4191.1708984375,2169.564453125,42844.3671875
2020-03-24,2499.781494140625,35952.46484375,726.4943237304688,170.0,14044.4912109375,20941.892578125,4191.1708984375,2282.759765625,42844.3671875
2020-03-25,2624.61083984375,38419.53125,814.21337890625,187.0,15002.4384765625,23688.369140625,4185.18408203125,2707.2392578125,42458.39453125
2020-03-26,2624.61083984375,38419.53125,814.21337890625,187.0,15002.4384765625,23688.369140625,4185.18408203125,2707.2392578125,42458.39453125
2020-03-27,2688.625244140625,46220.125,836.7055053710938,187.0,15846.734375,26177.3671875,4191.1708984375,2546.880859375,45932.2421875
2020-03-30,2560.595703125,46120.40625,823.210205078125,170.0,15505.7705078125,26194.53125,3951.67529296875,2622.34326171875,45855.0625
2020-03-31,2746.238525390625,44250.640625,854.6991577148438,177.0,15505.7705078125,26177.3671875,4191.1708984375,2546.880859375,45546.2578125
2020-04-01,2637.41357421875,43614.92578125,827.7086181640625,177.0,15132.3349609375,23688.369140625,4191.1708984375,2494.9990234375,44774.296875
2020-04-02,2560.595703125,46880.75,935.6707763671875,187.0,15798.0234375,22881.59375,4191.1708984375,2471.41650390625,45160.26953125
2020-04-03,2637.41357421875,47055.28125,1021.1405029296875,189.0,15992.8583984375,23173.404296875,4191.1708984375,2484.150634765625,45160.26953125
2020-04-06,2666.219482421875,47678.53515625,1016.6422119140625,190.0,16009.0986328125,24460.814453125,4191.1708984375,2589.859130859375,45160.26953125
2020-04-07,2627.811279296875,47366.8984375,1003.14697265625,190.0,16300.9130859375,23997.34765625,4179.19482421875,2565.834228515625,46939.28515625
2020-04-08,2675.82275390625,46120.40625,1061.62646484375,195.0,16854.59375,24374.990234375,4191.1708984375,2589.859130859375,46459.19921875
2020-04-09,2675.82275390625,46120.40625,1061.62646484375,195.0,16854.59375,24374.990234375,4191.1708984375,2589.859130859375,46459.19921875
2020-04-10,2675.82275390625,46120.40625,1061.62646484375,195.0,16854.59375,24374.990234375,4191.1708984375,2589.859130859375,46459.19921875
2020-04-13,2675.82275390625,46120.40625,1012.143798828125,207.0,17343.13671875,24374.990234375,4191.1708984375,2681.15283203125,45684.859375
2020-04-14,2746.238525390625,46095.44921875,1000.897705078125,217.0,18548.197265625,24632.46875,4185.18408203125,2729.202392578125,46459.19921875
2020-04-15,2746.238525390625,46095.44921875,942.4182739257812,215.0,18711.048828125,25319.091796875,4242.23291015625,2724.3974609375,45684.859375
2020-04-16,2746.238525390625,45497.14453125,940.1691284179688,215.0,18694.767578125,25164.6015625,4248.30078125,2709.982177734375,46459.19921875
2020-04-17,2784.7724609375,45484.67578125,959.8585815429688,215.0,18645.90625,25439.248046875,4248.30078125,2782.056396484375,47930.41015625
2020-04-20,2881.91552734375,45497.14453125,937.7078247070312,214.0,18417.919921875,25473.580078125,4248.30078125,2767.6416015625,47233.515625
2020-04-21,2700.5810546875,43627.3984375,905.712646484375,209.0,18564.484375,24374.990234375,4132.98974609375,2719.59228515625,46072.046875
2020-04-22,2720.009521484375,43440.41796875,945.0916137695312,205.0,18320.212890625,23774.197265625,4126.92138671875,2729.202392578125,45684.859375
2020-04-23,2758.8681640625,43627.3984375,974.6256103515625,210.0,19508.9921875,25851.220703125,4248.30078125,2902.1796875,45669.39453125
2020-04-24,2784.7724609375,41757.640625,940.1691284179688,221.0,18808.751953125,25250.4296875,4248.30078125,2959.839111328125,44910.55859375
2020-04-27,2700.5810546875,41842.84765625,959.8585815429688,227.0,18890.17578125,24563.80859375,4248.30078125,2959.839111328125,43903.94140625
2020-04-28,2791.24853515625,41316.67578125,1021.387939453125,221.0,18808.751953125,24169.00390625,4248.30078125,2926.203857421875,45142.86328125
2020-04-29,2778.296142578125,40765.453125,1018.9268798828125,221.0,18499.345703125,25095.939453125,4248.30078125,2926.203857421875,46211.41015625
2020-04-30,2720.009521484375,40088.94140625,1028.771484375,218.0,17961.958984375,24649.63671875,4242.23291015625,2950.22900390625,44988.00390625
2020-05-01,2720.009521484375,40088.94140625,1028.771484375,218.0,17961.958984375,24649.63671875,4242.23291015625,2950.22900390625,44988.00390625
2020-05-04,2703.819580078125,38836.16796875,964.7809448242188,210.0,17913.103515625,23705.533203125,4242.23291015625,2964.64404296875,43903.94140625
2020-05-05,2703.819580078125,39763.234375,977.0867309570312,205.0,17750.255859375,23602.544921875,4242.23291015625,2974.253662109375,43903.94140625
2020-05-06,2720.009521484375,37683.609375,959.8585815429688,205.0,17913.103515625,23636.87109375,4248.30078125,3041.52294921875,43594.23046875
2020-05-07,2813.915771484375,38836.16796875,972.1644287109375,205.0,18255.080078125,23396.55859375,4248.30078125,3075.156494140625,43594.23046875
2020-05-08,2762.105712890625,39337.28125,1004.1597900390625,203.0,18499.345703125,23362.22265625,4242.23291015625,3075.156494140625,44600.82421875
2020-05-11,2700.5810546875,39462.5625,1016.4656372070312,203.0,18644.98046875,23396.55859375,4242.23291015625,3051.1328125,43759.0
2020-05-12,2671.438232421875,38836.16796875,982.0090942382812,203.0,18612.328125,23121.90625,4236.1611328125,3055.937744140625,43759.0
2020-05-13,2655.24755859375,38172.19140625,945.0916137695312,200.0,17959.267578125,22400.95703125,4187.60888671875,3046.328125,41896.92578125
2020-05-14,2616.39111328125,37132.3984375,950.0137329101562,200.0,17910.2890625,21885.994140625,4181.54150390625,3055.937744140625,41121.06640625
2020-05-15,2616.39111328125,36706.4453125,950.0137329101562,195.0,18204.1640625,21371.02734375,4211.9755859375,3065.546875,41121.06640625
