,Celsia,Banco de Bogota,Ecopetrol,ETB,Nutresa,Banco Davivienda PF,Promigas,Mineros SA,Grupo Bolivar
Celsia,1.0,0.18696496919268896,0.206157854962953,0.06434438606963738,-0.008557546655297024,0.31757460757886913,0.2187201600613885,0.1753747781390646,0.14179566491140322
Banco de Bogota,0.18696496919268896,1.0,0.1587422010017028,0.02634148575919068,0.13216089176954618,0.23413709306273364,0.004490977658136667,0.09395554582578544,0.11192651425393225
Ecopetrol,0.206157854962953,0.1587422010017028,1.0,0.08184849029680306,0.1301146975220398,0.33467895951193616,0.13484171557483146,0.22662034013127003,0.1696110007211788
ETB,0.06434438606963738,0.02634148575919068,0.08184849029680306,1.0,0.025945650287028905,0.10572605758426644,0.09456928193950576,0.04256409008017246,0.023364296055070087
Nutresa,-0.008557546655297024,0.13216089176954618,0.1301146975220398,0.025945650287028905,1.0,0.08945694350173379,-0.10127578936995335,0.03649585395023104,0.034160365634595125
Banco Davivienda PF,0.31757460757886913,0.23413709306273364,0.33467895951193616,0.10572605758426644,0.08945694350173379,1.0,0.1938446346511067,0.239757480158536,0.23851096860729767
Promigas,0.2187201600613885,0.004490977658136667,0.13484171557483146,0.09456928193950576,-0.10127578936995335,0.1938446346511067,1.0,0.19989100179711108,0.15377914845479884
Mineros SA,0.1753747781390646,0.09395554582578544,0.22662034013127003,0.04256409008017246,0.03649585395023104,0.239757480158536,0.19989100179711108,1.0,0.17584015981288983
Grupo Bolivar,0.14179566491140322,0.11192651425393225,0.1696110007211788,0.023364296055070087,0.034160365634595125,0.23851096860729767,0.15377914845479884,0.17584015981288983,1.0
