,observaciones,media,mediana,desviacion_estandar,minimo,maximo,percentil_1,percentil_5,percentil_25,percentil_75,percentil_95,percentil_99,asimetria,curtosis
Celsia,1710.0,0.0002885440613899233,0.0,0.018507972193690662,-0.152525860426288,0.15879103568676342,-0.04922779753974526,-0.027571788705548907,-0.006953178812405639,0.008126098190466974,0.02716708373654839,0.054284186152004636,0.33495923302757197,10.245729869615547
Banco de Bogota,1707.0,-0.00019599958906453332,0.0,0.02234247089292295,-0.317446386773235,0.1848493527102719,-0.06651410291829975,-0.03170472211280657,-0.007624123541062261,0.008006751572636011,0.03064648827486768,0.06190459415738567,-1.686598585259075,31.542034425179242
Ecopetrol,1707.0,0.0003422542399630287,0.0,0.02494506313764446,-0.22398703076929696,0.2054046790877878,-0.06831141580866484,-0.0359573737849113,-0.01047135492288185,0.011999129068031857,0.038368344914558775,0.06289021730481509,-0.7106424700745622,11.696259672723098
ETB,1705.0,-0.00033703397220919806,0.0,0.030420003716535676,-0.3317773923170052,0.2711527705005703,-0.08423959305985054,-0.04251328888491297,0.0,0.0,0.04076518960805583,0.10256688774779005,-0.2296899385693459,25.686489281351434
Nutresa,1708.0,0.0015705663406574025,0.0,0.03184784858858707,-0.3390396606357362,0.44989364940382476,-0.07571768231722373,-0.032179035674299056,-0.004195003511763472,0.006166266012701407,0.03867057052985964,0.09166504304264252,2.3320480844478646,57.330749336316714
Banco Davivienda PF,1705.0,-0.00029105859341217114,0.0,0.019861451215129316,-0.156855837628315,0.12323259176446048,-0.05271262441336255,-0.029165713161364817,-0.009762974508434236,0.008727810939290797,0.03146210169189393,0.05405231457439341,-0.07201480533630301,6.7958539503722015
Promigas,1703.0,0.0001213631111917382,0.0,0.020354170897469888,-0.25782896381013154,0.2653763235326037,-0.05129214814027186,-0.029618297442308403,-0.004473276828401684,0.004967284959375053,0.029823660640861904,0.05420366625044833,-0.16285129971793974,35.54194204559128
Mineros SA,1713.0,0.0010333924220446195,0.0,0.02927800942062027,-0.2744369933083998,0.3950648650005605,-0.07586813453027605,-0.03416227177127345,-0.0072728368190973424,0.008722553176841154,0.041503336894910314,0.07881336132050303,1.2741596845494412,35.56844941721354
Grupo Bolivar,1709.0,0.0001560549778183008,0.0,0.020881184854147757,-0.1222773644271931,0.2913368181177233,-0.05715840978961057,-0.031252937114692764,-0.006172802525442628,0.005870638072099497,0.031120274029194282,0.05633366927036833,1.6631330088250857,28.04676784364953
