,volatilidad_diaria,volatilidad_anualizada
Celsia,0.018507972193690662,0.2938049501796243
Banco de Bogota,0.02234247089292295,0.3546757299442401
Ecopetrol,0.02494506313764446,0.3959906010060709
ETB,0.030420003716535676,0.48290258829368393
Nutresa,0.03184784858858707,0.5055689229470449
Banco Davivienda PF,0.019861451215129316,0.3152907635524428
Promigas,0.020354170897469888,0.3231124460256822
Mineros SA,0.029278009420620265,0.46477399085980503
Grupo Bolivar,0.020881184854147757,0.331478533226661
