,media_antes,media_despues,media_diferencia,desv_antes,desv_despues,desv_diferencia
Celsia,0.0002885440613899233,0.0002885440613899233,0.0,0.018507972193690662,0.018507972193690662,0.0
Banco de Bogota,-0.00019599958906453332,-0.00019599958906453332,0.0,0.02234247089292295,0.02234247089292295,0.0
Ecopetrol,0.0003422542399630287,0.0003422542399630287,0.0,0.02494506313764446,0.02494506313764446,0.0
ETB,-0.00033703397220919806,-0.00033703397220919806,0.0,0.030420003716535676,0.030420003716535676,0.0
Nutresa,0.0015705663406574025,0.0015705663406574025,0.0,0.03184784858858707,0.03184784858858707,0.0
Banco Davivienda PF,-0.00029105859341217114,-0.00029105859341217114,0.0,0.019861451215129316,0.019861451215129316,0.0
Promigas,0.0001213631111917382,0.0001213631111917382,0.0,0.020354170897469888,0.020354170897469888,0.0
Mineros SA,0.0010333924220446195,0.0010333924220446195,0.0,0.02927800942062027,0.02927800942062027,0.0
Grupo Bolivar,0.00011302382683132387,0.0001560549778183008,4.303115098697694e-05,0.020855389806063176,0.020881184854147757,2.5795048084580052e-05
