empresa,fecha,rendimiento,metodo,motivo
Banco de Bogota,2024-03-15,-0.08367240429630823,z_score,|z| = -3.74 > 3.0
Banco de Bogota,2024-05-03,0.12842356145066472,z_score,|z| = 5.76 > 3.0
Banco de Bogota,2024-05-06,-0.13123862712824555,z_score,|z| = -5.87 > 3.0
Banco de Bogota,2025-02-19,-0.10783916829238036,z_score,|z| = -4.82 > 3.0
Banco de Bogota,2025-02-20,0.12021329238907509,z_score,|z| = 5.39 > 3.0
Banco de Bogota,2025-09-19,-0.07410812568002907,z_score,|z| = -3.31 > 3.0
Banco de Bogota,2026-03-06,-0.07138506391733451,z_score,|z| = -3.19 > 3.0
Banco de Bogota,2026-03-09,0.06838499799417108,z_score,|z| = 3.07 > 3.0
Banco de Bogota,2026-03-20,-0.0926483419443424,z_score,|z| = -4.14 > 3.0
Banco de Bogota,2026-03-24,0.0889100122146007,z_score,|z| = 3.99 > 3.0
Celsia,2020-03-12,-0.06491956204555713,z_score,|z| = -3.52 > 3.0
Celsia,2020-03-16,-0.152525860426288,z_score,|z| = -8.26 > 3.0
Celsia,2020-03-19,0.06995851839577938,z_score,|z| = 3.76 > 3.0
Celsia,2020-03-24,0.06616143089748537,z_score,|z| = 3.56 > 3.0
Celsia,2020-03-31,0.06999223847003284,z_score,|z| = 3.77 > 3.0
Celsia,2020-04-21,-0.06498823142208647,z_score,|z| = -3.53 > 3.0
Celsia,2020-10-30,-0.06311081650958399,z_score,|z| = -3.43 > 3.0
Celsia,2021-05-27,-0.07789516712080526,z_score,|z| = -4.22 > 3.0
Celsia,2021-05-28,0.1036060062389557,z_score,|z| = 5.58 > 3.0
Celsia,2021-12-01,0.0666040105048405,z_score,|z| = 3.58 > 3.0
Celsia,2022-01-20,0.12266728764584703,z_score,|z| = 6.61 > 3.0
Celsia,2022-06-21,-0.050901421145517906,percentil,valor < percentil 1%
Celsia,2022-09-16,-0.09436920354994748,z_score,|z| = -5.11 > 3.0
Celsia,2022-11-15,0.07361185405088247,z_score,|z| = 3.96 > 3.0
Celsia,2023-02-14,-0.0620527730550403,z_score,|z| = -3.37 > 3.0
Celsia,2023-02-21,-0.05329706512700297,percentil,valor < percentil 1%
Celsia,2023-02-27,0.07656383856215968,z_score,|z| = 4.12 > 3.0
Celsia,2023-03-14,0.05428490677562782,percentil,valor > percentil 99%
Celsia,2023-03-15,0.05519945902235012,percentil,valor > percentil 99%
Celsia,2023-03-16,0.061060376397501,z_score,|z| = 3.28 > 3.0
Celsia,2023-04-27,-0.05182490456129918,percentil,valor < percentil 1%
Celsia,2023-05-24,-0.053069864657697925,percentil,valor < percentil 1%
Celsia,2023-09-04,-0.04936173811436159,percentil,valor < percentil 1%
Celsia,2023-09-26,0.07534964833152197,z_score,|z| = 4.06 > 3.0
Celsia,2023-12-13,0.08401889620355564,z_score,|z| = 4.52 > 3.0
Celsia,2024-02-26,0.06054302131193031,z_score,|z| = 3.26 > 3.0
Celsia,2024-03-15,-0.09140638794132225,z_score,|z| = -4.95 > 3.0
Celsia,2024-03-18,0.060960647835597195,z_score,|z| = 3.28 > 3.0
Celsia,2024-05-03,-0.08526474266447864,z_score,|z| = -4.62 > 3.0
Celsia,2024-05-06,0.09245046689466073,z_score,|z| = 4.98 > 3.0
Celsia,2025-09-15,-0.051959774226086705,percentil,valor < percentil 1%
Celsia,2026-03-02,-0.06958405578294408,z_score,|z| = -3.78 > 3.0
Celsia,2026-03-03,0.08293804601566666,z_score,|z| = 4.47 > 3.0
Celsia,2026-03-17,-0.05327630114956782,percentil,valor < percentil 1%
Celsia,2026-03-24,0.15879103568676342,z_score,|z| = 8.56 > 3.0
Celsia,2026-04-29,-0.04927108353887882,percentil,valor < percentil 1%
ETB,2020-03-18,-0.1415401722353286,z_score,|z| = -4.64 > 3.0
ETB,2020-03-25,0.09531017980432493,z_score,|z| = 3.14 > 3.0
ETB,2020-03-30,-0.0953101798043249,z_score,|z| = -3.12 > 3.0
ETB,2020-06-04,0.10277986906433471,z_score,|z| = 3.39 > 3.0
ETB,2020-07-31,-0.09984533496971613,z_score,|z| = -3.27 > 3.0
ETB,2022-10-18,-0.1568162787810348,z_score,|z| = -5.14 > 3.0
ETB,2022-11-04,-0.11672427430814143,z_score,|z| = -3.83 > 3.0
ETB,2022-12-29,0.1215494929568073,z_score,|z| = 4.01 > 3.0
ETB,2023-01-03,-0.10285735994465477,z_score,|z| = -3.37 > 3.0
ETB,2023-01-11,0.11568439899946231,z_score,|z| = 3.81 > 3.0
ETB,2023-02-03,0.09557980309385829,z_score,|z| = 3.15 > 3.0
ETB,2023-03-17,-0.11074222863250695,z_score,|z| = -3.63 > 3.0
ETB,2023-04-03,0.12320373411460153,z_score,|z| = 4.06 > 3.0
ETB,2023-04-04,-0.10889629296308992,z_score,|z| = -3.57 > 3.0
ETB,2023-09-15,-0.18547947031807904,z_score,|z| = -6.09 > 3.0
ETB,2023-09-19,0.11865108763697482,z_score,|z| = 3.91 > 3.0
ETB,2023-09-22,-0.3317773923170052,z_score,|z| = -10.90 > 3.0
ETB,2023-09-25,0.2711527705005703,z_score,|z| = 8.92 > 3.0
ETB,2023-10-04,-0.08427718563566423,percentil,valor < percentil 1%
ETB,2023-10-09,0.15870265989982638,z_score,|z| = 5.23 > 3.0
